Date ,All Items 
 2010 Jan ,0.7
 2010 Feb ,0.4
 2010 Mar ,0.1
 2010 Apr ,0.9
 2010 May ,0.6
 2010 Jun ,-1
 2010 Jul ,1.3
 2010 Aug ,0.5
 2010 Sep ,0.1
 2010 Oct ,0.4
 2010 Nov ,0.3
 2010 Dec ,0.2
 2011 Jan ,1.6
 2011 Feb ,-0.1
 2011 Mar ,0.1
 2011 Apr ,0.3
 2011 May ,0.6
 2011 Jun ,-0.2
 2011 Jul ,1.5
 2011 Aug ,0.7
 2011 Sep ,-0.2
 2011 Oct ,0.4
 2011 Nov ,0.6
 2011 Dec ,0
 2012 Jan ,0.9
 2012 Feb ,-0.3
 2012 Mar ,0.8
 2012 Apr ,0.5
 2012 May ,0.2
 2012 Jun ,0
 2012 Jul ,0.2
 2012 Aug ,0.6
 2012 Sep ,0.6
 2012 Oct ,-0.2
 2012 Nov ,0.1
 2012 Dec ,0.7
 2013 Jan ,0.2
 2013 Feb ,1
 2013 Mar ,-0.5
 2013 Apr ,-1.5
 2013 May ,0.4
 2013 Jun ,0.2
 2013 Jul ,0.3
 2013 Aug ,0.8
 2013 Sep ,0.1
 2013 Oct ,0.2
 2013 Nov ,0.7
 2013 Dec ,-0.3
 2014 Jan ,0.1
 2014 Feb ,0
 2014 Mar ,0.3
 2014 Apr ,-0.4
 2014 May ,0.3
 2014 Jun ,-0.2
 2014 Jul ,-0.3
 2014 Aug ,0.5
 2014 Sep ,-0.2
 2014 Oct ,-0.3
 2014 Nov ,0.2
 2014 Dec ,-0.1
 2015 Jan ,-0.2
 2015 Feb ,0.1
 2015 Mar ,0.2
 2015 Apr ,-0.6
 2015 May ,0.5
 2015 Jun ,-0.1
 2015 Jul ,-0.4
 2015 Aug ,0.1
 2015 Sep ,0
 2015 Oct ,-0.4
 2015 Nov ,0.2
 2015 Dec ,0
 2016 Jan ,-0.2
 2016 Feb ,-0.1
 2016 Mar ,0
 2016 Apr ,-0.1
 2016 May ,-0.7
 2016 Jun ,0.7
 2016 Jul ,-0.3
 2016 Aug ,0.5
 2016 Sep ,0
 2016 Oct ,-0.3
 2016 Nov ,0.3
 2016 Dec ,0.2
 2017 Jan ,0.2
 2017 Feb ,0
 2017 Mar ,0
 2017 Apr ,-0.3
 2017 May ,0.3
 2017 Jun ,-0.1
 2017 Jul ,-0.2
 2017 Aug ,0.3
 2017 Sep ,0
 2017 Oct ,-0.3
 2017 Nov ,0.6
 2017 Dec ,-0.1
 2018 Jan ,-0.2
 2018 Feb ,0.5
 2018 Mar ,-0.2
 2018 Apr ,-0.5
 2018 May ,0.6
 2018 Jun ,0.1
 2018 Jul ,-0.1
 2018 Aug ,0.4
 2018 Sep ,0
 2018 Oct ,-0.3
 2018 Nov ,0.2
 2018 Dec ,0.1
 2019 Jan ,-0.3
 2019 Feb ,0.6
 2019 Mar ,0
 2019 Apr ,-0.2
 2019 May ,0.6
 2019 Jun ,-0.3
 2019 Jul ,-0.5
 2019 Aug ,0.6
 2019 Sep ,-0.1
 2019 Oct ,-0.2
 2019 Nov ,0.3
 2019 Dec ,0.2
